,cod_ibge,subfuncao,an_referencia,total,total_percent
2898,3108602,361,,170789884.57,0.018069202926893745
2899,3123809,752,,3175180.96,0.0015805623041545455
2900,3135357,271,,1628500.0,0.0006723162065373245
2901,3146305,303,,12488971.280000003,0.00423010591107704
2902,3163102,124,,694433.56,0.0005443417320281877
2903,3164431,303,,3623031.880000001,0.006148350210868706
2904,3131901,452,,150821212.04000002,0.011696638718032
2905,3114709,123,,2211799.29,0.0012733594820551464
2906,3137700,601,,90000.0,2.9790850741853684e-05
2907,3100906,542,,4513945.359999999,0.0015328804191197993
2908,3106002,541,,3155493.98,0.0017838561257627857
2909,3126208,846,,12161300.7,0.008079432222307852
2910,3112901,541,,35536.68,1.729193777913226e-05
2911,3108552,303,,6182017.1400000015,0.0027354823585718927
2912,3111101,302,,219951032.20000008,0.10654250893643817
2913,3145372,122,,55476451.18999998,0.028898916257546464
2914,3121258,661,,100000.0,3.006517829967509e-05
2915,3137007,131,,1711887.68,0.0006229632902802399
2916,3108008,997,,11000000.0,0.0030914361983453674
2917,3131208,181,,3272310.0399999996,0.0012273543690658275
2918,3101102,303,,17763812.740000002,0.004341736963130101
2919,3165008,606,,4165761.629999999,0.0017513525032452418
2920,3137502,812,,1952227.6599999997,0.0004089366209463934
2921,3105202,542,,995700.0,0.0006801729521917826
2922,3130606,302,,10739567.68,0.005583803865816167
2923,3160405,752,,27641581.500000004,0.008316113078374283
2924,3137007,511,,7996639.849999999,0.002910011638229725
2925,3165552,541,,780840.0,0.0003013101369104401
2926,3123205,305,,7345436.229999997,0.0043519424423807684
2927,3164100,846,,3329436.64,0.002002554285325119
2928,3132701,122,,91112019.70999995,0.021662830689519734
2929,3142601,843,,1483562.94,0.0015815332803092244
2930,3107802,306,,3825441.9799999995,0.001167510634914046
2931,3105905,244,,22851083.589999996,0.005883161368525436
2932,3126703,999,,6930000.0,0.0012079451893699676
2933,3102852,722,,110000.0,4.727964562381023e-05
2934,3148301,752,,1925693.0,0.0024883351833874167
2935,3144003,306,,10923521.200000003,0.0043104207528658085
2936,3143450,302,,18529300.240000002,0.0085474482882966
2937,3165305,241,,29700.0,1.8994894862217013e-05
2938,3114709,304,,603296.8200000001,0.0003473252431692014
2939,3116159,271,,2090000.0,0.0005521388436434961
2940,3129202,301,,38765256.10000001,0.023361372946741545
2941,3131802,301,,114652492.80000007,0.0739997115691048
2942,3118403,452,,28255215.519999996,0.010687766447289032
2943,3113800,,,634179432.6399997,0.7043282890731567
2944,3136553,391,,6225171.199999999,0.005860711088120954
2945,3164902,272,,2619043.0,0.004830335720570153
2946,3158607,302,,10969008.790000001,0.014586362969319536
2947,3125101,695,,96195483.18000002,0.005466829332290571
2948,3131000,482,,2841210.0,0.0016719429942729748
2949,3163409,122,,43939767.92,0.025826492730369376
2950,3159357,452,,1516211.8,0.001016834144125795
2951,3159605,303,,50470878.8,0.0065409827763929845
2952,3129608,123,,4469197.12,0.002216710944259627
2953,3161403,542,,3710495.8,0.0032193002313858445
2954,3141801,305,,5810145.090000004,0.0010545700167573927
2955,3129400,243,,1930553.7200000002,0.0036077668639300504
2956,3123106,782,,6077315.5,0.0047836330174383605
2957,3109402,542,,363672.0,0.00013220444297075653
2958,3119906,365,,19325766.739999995,0.015052741426913633
2959,3103207,365,,13119087.32,0.012563995841319845
2960,3101300,997,,240000.0,0.0005311468684532782
2961,3112059,843,,880000.0,0.0006377458891769388
2962,3145356,812,,4432027.3100000005,0.0026298977822192407
2963,3111606,606,,9493600.0,0.0037484940888594595
2964,3145851,301,,74252962.09000006,0.11672163354701907
2965,3109006,782,,710639660.7699997,0.0466866220725386
2966,3134905,482,,11852922.0,0.0016095504204559944
2967,3142601,242,,271219.2,0.0002891297561388556
2968,3145877,031,,12056062.479999997,0.009668884863727729
2969,3139706,,,871066769.35,0.6147525080368005
2970,3121605,482,,22000.0,3.6952197986452e-06
2971,3140530,452,,6622401.169999996,0.004878320257651311
2972,3160108,181,,955035.1499999999,0.0012503663974675503
2973,3148707,392,,5572758.32,0.0010251647997756867
2974,3110004,363,,18328171.629999995,0.005754821225797321
2975,3142809,304,,3325600.0,0.0011236902278555644
2976,3145604,813,,21326.66,4.663347909209141e-06
2977,3126901,241,,877324.3600000001,0.0002769673734309329
2978,3122603,301,,87974627.07000008,0.08353873072060873
2979,3140605,302,,15009266.8,0.00838679285468134
2980,3109105,,,2322750531.0700006,0.7802811068639002
2981,3117836,606,,2119340.0700000003,0.0014158312464298876
2982,3138203,606,,8971340.530000001,0.0009167429831391688
2983,3100807,366,,329200.0,0.00012990229852288135
2984,3137908,365,,67008548.440000005,0.03761954701031638
2985,3162906,122,,89418335.46000001,0.04762219197019793
2986,3141900,244,,2673981.81,0.005038969482223508
2987,3146107,333,,59400.0,4.592508439930788e-06
2988,3110806,122,,37514447.45999999,0.03388910188582684
2989,3136504,131,,381000.0,0.00023912446784779128
2990,3113404,361,,820400217.1500003,0.10289594993062123
2991,3146008,661,,120000.0,1.7541669263376845e-05
2992,3118700,846,,2263951.0999999996,0.0014346314964850445
2993,3163201,846,,1149278.1,0.0023737622894177204
2994,3118106,131,,207000.0,0.0002242473947094659
2995,3140506,366,,77550.0,2.875125805533142e-05
2996,3127701,366,,44843680.61000001,0.0006071491518110177
2997,3162575,241,,412713.28,0.0003041958508957025
2998,3146305,302,,85014338.52000001,0.028794978212149148
2999,3109907,124,,2356118.3200000003,0.0015095440175009894
3000,3102605,511,,1597160.0,0.00038129537471243385
3001,3143005,606,,866760.0,0.0002634048904024566
3002,3111002,782,,44791671.48,0.018385713779463703
3003,3121506,542,,268200.0,0.00031369215999929833
3004,3119500,363,,828000.0,0.0009091808656498313
3005,3142700,999,,528000.0,0.0002340339545277663
3006,3107802,301,,91983476.92000003,0.028073014334534685
3007,3123205,182,,1245188.68,0.0007377355538302846
3008,3105608,271,,2675811.8799999994,0.00020169662062322112
3009,3117306,451,,43164442.120000005,0.0054740578776708215
3010,3144409,606,,5147699.979999998,0.0033461091157373675
3011,3144300,123,,5392379.75,0.0009478086736254001
3012,3112802,782,,41484278.0,0.007972664257771305
3013,3125309,812,,1371528.0399999998,0.001662513875246986
3014,3111200,482,,821269.9,0.000136740191263081
3015,3106200,124,,333706519.5,0.0007687995427118642
3016,3159704,366,,1045171.0499999999,0.0007071549083215542
3017,3144904,305,,3044486.83,0.0022240246281157974
3018,3137007,361,,163412423.35,0.05946648376065391
3019,3165206,606,,2662513.5200000005,0.0036986774657716413
3020,3128204,752,,1004822.0,0.00036053865009249794
3021,3102100,812,,1828225.0,0.0020977447792249783
3022,3143906,305,,29900879.950000003,0.0015247535853174445
3023,3121100,244,,22489049.779999983,0.013812898989236528
3024,3148509,365,,29940793.999999993,0.022166972892152966
3025,3118304,304,,24730750.59,0.0033168385353235562
3026,3121100,031,,6781500.0,0.004165234877056135
3027,3122454,366,,1540000.0,0.0005395987771129784
3028,3125804,365,,11740373.400000002,0.00935922003494425
3029,3102100,303,,4226305.5600000005,0.004849354113361046
3030,3113404,243,,57706393.239999995,0.007237631128532639
3031,3111804,813,,2464064.76,0.0018755030823066068
3032,3113305,129,,6272411.6400000015,0.0009895072491432346
3033,3162807,272,,39284256.73999998,0.009080321919985175
3034,3162609,303,,509126.2699999999,0.0003721876614716787
3035,3129509,392,,17628631.75,0.004800694885731678
3036,3161601,305,,1571692.9399999995,0.0012455955963980945
3037,3160108,782,,21931741.75,0.02871382579179015
3038,3120805,365,,87512914.16000001,0.06507964526540425
3039,3161304,301,,91815927.60999995,0.061677286708046085
3040,3117836,366,,348757.8,0.00023298865418806776
3041,3140605,606,,1788000.0,0.0009990884847333272
3042,3164704,367,,740428.68,4.611619493917927e-05
3043,3162203,301,,76101644.26000002,0.023570289514709186
3044,3115904,301,,65548642.84,0.1173557490503337
3045,3139201,366,,1164542.92,0.0005514838940775846
3046,3121258,122,,116472050.65000004,0.03501752969721039
3047,3111507,453,,1324146.7600000002,0.0005003294435642076
3048,3123502,609,,146439.30000000002,9.768198004242005e-05
3049,3123106,122,,84063131.36000003,0.06616855266489854
3050,3127909,125,,98246.72,7.560258812140745e-05
3051,3102704,306,,3147309.98,0.0013115082144521096
3052,3129905,752,,2723401.6,0.0022323805388733435
3053,3133501,843,,19875594.1,0.004737326260209882
3054,3100807,722,,286929.06000000006,0.00011322218835665171
3055,3141306,392,,3523029.6999999997,0.0026247890776477244
3056,3160306,512,,22497000.0,0.01101560220911232
3057,3139003,811,,2536860.0,0.00021040805895572307
3058,3103900,606,,706750.0,0.0005452280099768276
3059,3118908,272,,24999109.92,0.021721270824851042
3060,3134004,129,,1889840.56,0.0005733107099185824
3061,3119203,303,,2244489.0399999996,0.001053349997332258
3062,3132701,843,,31178827.810000006,0.00741309072167993
3063,3122702,365,,24283770.280000005,0.015033077980151096
3064,3137502,131,,832722.86,0.00017443194742626313
3065,3126802,304,,771141.2399999999,0.0006060110892844254
3066,3101508,306,,14575139.48,0.00560225017202045
3067,3139250,031,,13227920.0,0.006615370293217505
3068,3159506,181,,863276.56,0.000696434128643178
3069,3116704,512,,27523508.12,0.037451589700577374
3070,3147204,361,,93711909.07,0.04307369266222948
3071,3162807,244,,59880906.35000002,0.013841114778298462
3072,3159506,782,,5774948.310000001,0.004658844315469708
3073,3148301,782,,32299605.71999999,0.04173679050742639
3074,3142304,752,,11830036.770000001,0.010494922046522399
3075,3127305,543,,30000.0,2.2621784521752303e-05
3076,3135357,452,,15131027.160000004,0.006246751477571035
3077,3146909,124,,667636.8,0.00027477017094045436
3078,3162658,542,,61600.0,3.6430086413080896e-05
3079,3165503,241,,1533139.9900000002,0.0013548055288711424
3080,3107406,811,,1100000.0,0.00019708801890192375
3081,3121803,129,,3540053.5,0.001675107339995839
3082,3136207,303,,26410226.119999997,0.002038289575221161
3083,3143708,302,,59526452.240000024,0.03418337000273992
3084,3145307,367,,99000.0,1.546982027037854e-05
3085,3159902,812,,3923574.7399999993,0.004494725739572354
3086,3128600,244,,21373352.80999999,0.008966157548438002
3087,3102308,481,,55000.0,1.6854279218930862e-05
3088,3103009,302,,11285182.95,0.006078598336390766
3089,3132503,722,,811780.9600000001,0.00010730548102822832
3090,3163904,122,,35219650.32000001,0.02179149011478663
3091,3134103,784,,4078332.0,0.0018202873649430067
3092,3138302,306,,2545026.6899999995,0.001559880979171477
3093,3134004,304,,672630.22,0.0002040521920753422
3094,3136504,366,,2889071.6900000004,0.0018132486363395515
3095,3123858,391,,392820.0,0.00018121917551777803
3096,3104403,364,,336840.12,0.0007720171023989337
3097,3106903,366,,8113953.48,0.007878390569134116
3098,3121308,241,,884400.0,0.0005695569135626986
3099,3103504,181,,19940980.270000003,0.001388701535702688
3100,3129400,541,,5982545.130000001,0.011180019420531897
3101,3119609,782,,1861643.2800000003,0.004158124346757322
3102,3135357,391,,44000.0,1.8165129313873062e-05
3103,3119807,392,,11006048.2,0.00825769569474545
3104,3116605,661,,1366000.0,0.0005486851305462636
3105,3100609,122,,116758061.95000002,0.053445164883338676
3106,3128204,481,,6562109.73,0.0023545405890924424
3107,3142908,451,,13986493.86,0.0030878235510621577
3108,3101631,129,,550000.0,0.0003570589946504123
3109,3106200,365,,9582807551.2,0.022077057632247904
3110,3141603,303,,10148039.099999998,0.010518833317373608
3111,3105707,367,,3464100.0,0.003748777239653858
3112,3145356,182,,470347.2600000001,0.0002790969300112225
3113,3162500,364,,117252.31999999999,6.7276740364695445e-06
3114,3128303,301,,96913128.80000004,0.04907398428447312
3115,3133204,364,,2825000.0,0.0016077113278949453
3116,3109204,606,,3903674.1799999997,0.0024675735270418254
3117,3130903,121,,12352957.79,0.0020284708487071463
3118,3158607,271,,256092.11999999997,0.00034054605000480943
3119,3129608,181,,294550.27999999997,0.00014609622529040235
3120,3139805,131,,164500.0,0.00019138759740197845
3121,3107604,301,,40308958.69999999,0.02115677943661006
3122,3137908,812,,4850467.76,0.002723121216134554
3123,3141009,605,,7183771.0,0.001917684747849071
3124,3122405,512,,5733929.8,0.004325582584424754
3125,3160207,782,,11864682.799999999,0.010256030462103143
3126,3134509,363,,364965.0,0.00025800596432914774
3127,3145208,092,,2449520.36,0.00019502964118524064
3128,3135704,362,,26000.0,2.1594110643672505e-05
3129,3164506,303,,3970550.4800000004,0.0026925930354293618
3130,3143005,512,,20628191.25,0.006268824652045738
3131,3130309,512,,27970220.19,0.018413477753291562
3132,3114006,846,,495000.0,0.00023684175593176738
3133,3112307,661,,480000.0,7.005265293299505e-05
3134,3112406,243,,1613925.56,0.0008889282578575964
3135,3100500,846,,4270000.0,0.0019021816528755533
3136,3105905,695,,843000.0,0.00021703587990187488
3137,3147402,272,,80683784.80000001,0.02705932557658515
3138,3139805,813,,253558.92,0.0002950032370738022
3139,3106705,813,,57924621.379999995,0.0007821261904534231
3140,3146750,392,,2959000.0,0.002194816570340758
3141,3122470,392,,1797698.24,0.0022280125120055193
3142,3125200,303,,2370689.3099999996,0.001861183949779061
3143,3126703,031,,25360642.320000004,0.004420528988423726
3144,3100401,305,,3069485.59,0.0019928193251985693
3145,3119302,306,,12643392.89,0.0017200496617479843
3146,3161650,181,,1624707.07,0.001324372218695432
3147,3159605,242,,44000.0,5.702362411832848e-06
3148,3144102,061,,1874583.4,0.0003785831362569803
3149,3105004,182,,2300.0,2.152593739336163e-06
3150,3147907,391,,6429882.0,0.0005164155945040119
3151,3130101,392,,6606596.440000001,0.0019225446778182464
3152,3164407,782,,42664178.73999998,0.021031143860761985
3153,3109709,695,,290028.0,0.0001250998357965405
3154,3115904,304,,2020558.0,0.003617528713270979
3155,3143609,303,,1088196.72,0.0006424197821381192
3156,3163607,782,,30594359.619999997,0.017660737666013702
3157,3148509,366,,352000.0,0.00026060679813761273
3158,3145307,272,,44119926.97,0.006894215561294211
3159,3133709,812,,75654871.58999999,0.02292451920638669
3160,3112505,125,,55000.0,4.061822336807503e-05
3161,3146107,601,,276160.76,2.135135725720035e-05
3162,3119807,997,,1650000.0,0.0012379736712701287
3163,3119906,606,,4623000.0,0.003600831188373421
3164,3158201,606,,1333278.44,0.000595786401272337
3165,3106002,367,,3735626.05,0.002111814966242318
3166,3121209,452,,30374198.279999994,0.021793065244498026
3167,3134806,366,,71500.0,4.093247516453855e-05
3168,3139706,541,,226995.68,0.00016020145470323696
3169,3144607,243,,8184352.0,0.0032288249852913263
3170,3130903,846,,4211188.8,0.0006915164662925664
3171,3116704,123,,2708423.87,0.0036853870179718176
3172,3131901,242,,10897582.0,0.0008451402679373971
3173,3142403,062,,655798.92,0.00035053128183179624
3174,3141306,846,,2084693.6400000001,0.001553174841674959
3175,3122454,609,,11000.0,3.854276979378417e-06
3176,3136900,364,,825000.0,0.00028281058862042116
3177,3137809,452,,19267720.519999996,0.005594367972697481
3178,3124906,241,,1366400.0,0.0014816936414335363
3179,3140803,123,,46521000.019999996,0.02758153499595795
3180,3122900,482,,1650000.0,0.002517764344210685
3181,3138682,182,,55000.0,7.425521051247736e-05
3182,3127206,451,,25914147.61,0.021641063007290136
3183,3138625,304,,892250.0800000001,0.0006992328268706761
3184,3122504,,,1704719233.9699996,0.8222824159898736
3185,3136801,541,,11000.0,6.361109776622562e-06
3186,3117306,303,,7048863.199999998,0.0008939275763442658
3187,3134400,846,,52651326.099999994,0.0038932863769499783
3188,3161056,153,,801469.8099999999,0.0005511547197087787
3189,3118007,482,,41499610.480000004,0.0025357573171902893
3190,3126703,124,,1577687.7999999998,0.00027500149903862735
3191,3126505,782,,1520410.96,0.0012850669651889015
3192,3130804,511,,1760000.0,0.0010590389282086913
3193,3161809,243,,3450608.0,0.0016944444465684038
